ACCOUNT_CODE,ACCOUNT_NAME,ACCOUNT_TYPE,STATEMENT,PARENT_CODE,LEVEL,DISPLAY_ORDER,ORIGIN
1,Ativo,ASSET,BALANCE_SHEET,,1,0,STANDARD
1.01,Ativo Circulante,ASSET,BALANCE_SHEET,1,2,10,STANDARD
1.01.01,Caixa e Equivalentes de Caixa,ASSET,BALANCE_SHEET,1.01,3,20,STANDARD
1.01.02,Aplicações Financeiras,ASSET,BALANCE_SHEET,1.01,3,30,STANDARD
1.01.03,Contas a Receber de Clientes,ASSET,BALANCE_SHEET,1.01,3,40,STANDARD
1.01.04,Estoques,ASSET,BALANCE_SHEET,1.01,3,50,STANDARD
1.01.05,Tributos a Recuperar,ASSET,BALANCE_SHEET,1.01,3,60,STANDARD
1.01.06,Adiantamentos,ASSET,BALANCE_SHEET,1.01,3,70,STANDARD
1.01.09,Outros Ativos Circulantes,ASSET,BALANCE_SHEET,1.01,3,80,STANDARD
1.02,Ativo Não Circulante,ASSET,BALANCE_SHEET,1,2,90,STANDARD
1.02.01,Realizável a Longo Prazo,ASSET,BALANCE_SHEET,1.02,3,100,STANDARD
1.02.02,Investimentos,ASSET,BALANCE_SHEET,1.02,3,110,STANDARD
1.02.03,Imobilizado,ASSET,BALANCE_SHEET,1.02,3,120,STANDARD
1.02.04,Intangível,ASSET,BALANCE_SHEET,1.02,3,130,STANDARD
1.02.09,Outros Ativos Não Circulantes,ASSET,BALANCE_SHEET,1.02,3,140,STANDARD
2,Passivo,LIABILITY,BALANCE_SHEET,,1,150,STANDARD
2.01,Passivo Circulante,LIABILITY,BALANCE_SHEET,2,2,160,STANDARD
2.01.01,Fornecedores,LIABILITY,BALANCE_SHEET,2.01,3,170,STANDARD
2.01.02,Empréstimos e Financiamentos,LIABILITY,BALANCE_SHEET,2.01,3,180,STANDARD
2.01.03,Obrigações Trabalhistas e Previdenciárias,LIABILITY,BALANCE_SHEET,2.01,3,190,STANDARD
2.01.04,Obrigações Fiscais,LIABILITY,BALANCE_SHEET,2.01,3,200,STANDARD
